==============================================================================================================
  RANKING | 2026-09-16 01:22:18
  Окно бэктеста: 30 дней | Всего комбинаций: 682
==============================================================================================================
  #    Symbol          K    SL    TP     Profit     PF      MDD   WinR  Sharpe  Recov   Score    Top
--------------------------------------------------------------------------------------------------------------
  1    USDCADrfd      21   700  1100   +3147.9  5.51  +534.4  75.0%   0.62   5.9  1.988  ▶ TOP
  2    USDCADrfd      21   700  1200   +3096.5  5.44  +534.4  75.0%   0.62   5.8  1.968       
  3    USDCADrfd      21   700   900   +3043.8  5.37  +534.4  75.0%   0.63   5.7  1.948       
  4    USDCADrfd      21   900  1100   +3026.9  4.70  +655.5  75.0%   0.56   4.6  1.880       
  5    USDCADrfd      21   700   700   +2834.4  5.07  +534.4  75.0%   0.64   5.3  1.868       
  6    USDCADrfd      21   900  1200   +2975.4  4.64  +655.5  75.0%   0.56   4.5  1.852       
  7    USDCADrfd      21   900   900   +2922.8  4.57  +655.5  75.0%   0.57   4.5  1.825       
  8    USDCADrfd      21  1100  1100   +2905.8  4.09  +776.5  75.0%   0.51   3.7  1.741       
  9    USDCADrfd      21  1100  1200   +2854.4  4.04  +776.5  75.0%   0.50   3.7  1.715       
  10   USDCADrfd      21   900   700   +2713.3  4.32  +655.5  75.0%   0.57   4.1  1.713       
  11   USDCADrfd      21  1100   900   +2801.7  3.98  +776.5  75.0%   0.51   3.6  1.689       
  12   USDCADrfd      21  1200  1100   +2845.3  3.85  +837.1  75.0%   0.48   3.4  1.681       
  13   USDCADrfd      21  1200  1200   +2793.8  3.79  +837.1  75.0%   0.48   3.3  1.655       
  14   USDCADrfd      21  1200   900   +2741.2  3.74  +837.1  75.0%   0.48   3.3  1.629       
  15   USDCADrfd      21  1100   700   +2592.3  3.76  +776.5  75.0%   0.50   3.3  1.582       
  16   USDCADrfd      21   500  1100   +2716.4  3.41  +966.0  71.4%   0.48   2.8  1.564       
  17   USDCHFrfd      28  1100   500   +2021.1  4.56  +275.8  71.4%   0.56   7.3  1.559  ▶ TOP
  18   USDCADrfd      21   700   500   +2260.0  4.24  +534.4  75.0%   0.60   4.2  1.548       
  19   USDCADrfd      21   500  1200   +2664.9  3.36  +966.0  71.4%   0.47   2.8  1.539       
  20   USDCADrfd      21  1200   700   +2531.8  3.53  +837.1  75.0%   0.47   3.0  1.524       
  21   USDCADrfd      21   500   900   +2612.3  3.31  +966.0  71.4%   0.48   2.7  1.514       
  22   USDCHFrfd      28  1100  1200   +1959.3  4.45  +275.8  69.2%   0.42   7.1  1.509       
  23   USDCADrfd      28   700  1100   +2439.8  3.17  +534.4  68.4%   0.45   4.6  1.467       
  24   USDCHFrfd      28  1100  1100   +1856.4  4.27  +275.8  69.2%   0.43   6.7  1.443       
  25   USDCADrfd      28   700  1200   +2367.7  3.11  +534.4  68.4%   0.45   4.4  1.430       
  26   USDCADrfd      21   500   700   +2402.9  3.13  +966.0  71.4%   0.48   2.5  1.413       
  27   USDCADrfd      21   900   500   +2139.0  3.61  +655.5  75.0%   0.52   3.3  1.404       
  28   USDCADrfd      28   700   900   +2306.6  3.05  +534.4  68.4%   0.45   4.3  1.400       
  29   USDCADrfd      28   700   700   +2232.2  2.98  +534.4  68.4%   0.45   4.2  1.363       
  30   USDCHFrfd      28  1100   900   +1650.6  3.91  +275.8  69.2%   0.44   6.0  1.312       
  31   USDCADrfd      21  1100   500   +2017.9  3.15  +776.5  75.0%   0.45   2.6  1.287       
  32   USDCADrfd      28   900  1100   +2197.7  2.61  +655.5  68.4%   0.37   3.4  1.283       
  33   USDCADrfd      28   900  1200   +2125.6  2.56  +655.5  68.4%   0.36   3.2  1.249       
