rank,symbol,k_period,sl_points,tp_points,profit,pf,mdd,win_rate,sharpe,recovery,score,top
1,USDCAD,21,700,1100,3147.92,5.51,534.44,75.0,0.62,5.9,1.988,TOP
2,USDCAD,21,700,1200,3096.47,5.44,534.44,75.0,0.62,5.8,1.968,
3,USDCAD,21,700,900,3043.81,5.37,534.44,75.0,0.63,5.7,1.948,
4,USDCAD,21,900,1100,3026.87,4.7,655.49,75.0,0.56,4.6,1.88,
5,USDCAD,21,700,700,2834.4,5.07,534.44,75.0,0.64,5.3,1.868,
6,USDCAD,21,900,1200,2975.42,4.64,655.49,75.0,0.56,4.5,1.852,
7,USDCAD,21,900,900,2922.76,4.57,655.49,75.0,0.57,4.5,1.825,
8,USDCAD,21,1100,1100,2905.81,4.09,776.54,75.0,0.51,3.7,1.741,
9,USDCAD,21,1100,1200,2854.37,4.04,776.54,75.0,0.5,3.7,1.715,
10,USDCAD,21,900,700,2713.34,4.32,655.49,75.0,0.57,4.1,1.713,
11,USDCAD,21,1100,900,2801.71,3.98,776.54,75.0,0.51,3.6,1.689,
12,USDCAD,21,1200,1100,2845.29,3.85,837.06,75.0,0.48,3.4,1.681,
13,USDCAD,21,1200,1200,2793.84,3.79,837.06,75.0,0.48,3.3,1.655,
14,USDCAD,21,1200,900,2741.19,3.74,837.06,75.0,0.48,3.3,1.629,
15,USDCAD,21,1100,700,2592.29,3.76,776.54,75.0,0.5,3.3,1.582,
16,USDCAD,21,500,1100,2716.37,3.41,965.98,71.4,0.48,2.8,1.564,
17,USDCHF,28,1100,500,2021.08,4.56,275.79,71.4,0.56,7.3,1.559,TOP
18,USDCAD,21,700,500,2260.01,4.24,534.44,75.0,0.6,4.2,1.548,
19,USDCAD,21,500,1200,2664.92,3.36,965.98,71.4,0.47,2.8,1.539,
20,USDCAD,21,1200,700,2531.77,3.53,837.06,75.0,0.47,3.0,1.524,
21,USDCAD,21,500,900,2612.27,3.31,965.98,71.4,0.48,2.7,1.514,
22,USDCHF,28,1100,1200,1959.34,4.45,275.79,69.2,0.42,7.1,1.509,
23,USDCAD,28,700,1100,2439.77,3.17,534.44,68.4,0.45,4.6,1.467,
24,USDCHF,28,1100,1100,1856.43,4.27,275.79,69.2,0.43,6.7,1.443,
